Activist,Investor ID,Investor Type,Investor Sub Type,Activist HQ,Focused,Activist Founded,Company,PID,Symbol,Date Invested,Demand Date,Demand Year,Current Holding (%),Demand Group,Demand,Response Date,Response,Seats Proposed (Gain Board Representation Only),Seats Gained (Gain Board Representation Only),Seats Gained Method  (Gain Board Representation Only),Outcome,Company HQ,Company Region,Exchange,Sector,Industry,Mkt Cap ($mn),Mkt Cap Category,Status,Exit Date,Exit Type,Price Per Share,Purchase Value (Mn),Currency,Buyer
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Baxter International Inc.,168,BAX,,17-Mar-20,2020,0,Governance,Amend Company Policy,8-May-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Medical Instruments & Supplies,"41,993",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Baxter International Inc.,168,BAX,21-Mar-14,17-Mar-20,2020,0,Governance,Board Independence,8-May-20,AGM,,,N/A,Activist's Objectives Successful,US,North America,NYSE,Healthcare,Medical Instruments & Supplies,"41,993",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Truist Financial Corporation,264,TFC,15-Mar-17,17-Mar-20,2020,,Governance,Board Independence,29-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Regional - US,"76,249",Large-Cap,Current,,,,,,
Arjuna Capital,7466,Investment Firm,"Hedge Fund,Private Equity/ Venture Capital",US,Partial Focus,1974,Wells Fargo & Company,10,WFC,,16-Mar-20,2020,0,Social,Diversity and Equality,28-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"190,630",Large-Cap,Current,,,,,,
Harold B. Bamburg Revocable Trust,9918,Concerned Shareholder(s),Private Investment Vehicle/Company,US,Concerned Shareholder,,Wells Fargo & Company,10,WFC,,16-Mar-20,2020,,Social,Diversity and Equality,28-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"190,630",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Ryder System Inc.,1225,R,4-Mar-13,16-Mar-20,2020,0,Governance,Amend Company Policy,5-May-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Rental & Leasing Services,"4,233",Mid-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Wells Fargo & Company,10,WFC,14-Mar-18,16-Mar-20,2020,0,Governance,Amend Company Policy,28-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"190,630",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Huntington Ingalls Industries Inc.,1179,HII,22-Mar-17,16-Mar-20,2020,,Governance,Amend Company Policy,28-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Aerospace & Defense,"7,337",Mid-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Crown Holdings Inc.,795,CCK,,16-Mar-20,2020,,Governance,Board Independence,23-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Consumer Cyclical,Packaging & Containers,"13,505",Large-Cap,Current,,,,,,
Office of the New York State Comptroller,786,Government/ National,,US,Engagement,,Wells Fargo & Company,10,WFC,15-Feb-99,16-Mar-20,2020,0,Governance,Disclose Information,28-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"190,630",Large-Cap,Current,,,,,,
AFL-CIO,14,Labour union,,US,Engagement,1955,Raytheon Technologies Corp,54,RTX,,13-Mar-20,2020,,Social,Other Social Concern,27-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Aerospace & Defense,"125,250",Large-Cap,Current,,,,,,
California Public Employees' Retirement System (CalPERS),606,Pension Fund,Private,US,Engagement,1932,Seaboard Corporation,1180,SEB,15-Feb-18,13-Mar-20,2020,0.01,Governance,Adopt Majority Vote Standard,28-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE MKT,Industrials,Conglomerates,"4,456",Mid-Cap,Current,,,,,,
Friends Fiduciary Corporation,9244,Rights/ Cause/ ESG,ESG,US,Engagement,,Centene Corporation,1219,CNC,,13-Mar-20,2020,,Social,Political Activities,28-Apr-20,N/A,,,N/A,Activist's Objectives Successful,US,North America,NYSE,Healthcare,Health Care Plans,"48,425",Large-Cap,Current,,,,,,
International Brotherhood of DuPont Workers,5219,Labour union,,US,Engagement,,Chemours Co/The,33671,CC,13-Mar-17,13-Mar-20,2020,0,Governance,Change Board Composition,29-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Basic Materials,Speciality Chemicals,"5,208",Mid-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Raytheon Technologies Corp,54,RTX,3-Apr-19,13-Mar-20,2020,,Governance,Adopt Majority Vote Standard,28-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Aerospace & Defense,"125,250",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Pfizer Inc.,17,PFE,,13-Mar-20,2020,,Governance,Amend Company Policy,23-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Drug Manufacturers - Major,"330,878",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Greenhill & Co. Inc.,1895,GHL,15-Jun-18,13-Mar-20,2020,,Governance,Amend Company Policy,23-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Capital Markets,322,Small-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Edison International,420,EIX,,13-Mar-20,2020,0,Governance,Amend Company Policy,24-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Utilities,Utilities - Diversified,"54,787",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Abbott Laboratories,121,ABT,,13-Mar-20,2020,,Governance,Adopt Majority Vote Standard,28-Apr-20,N/A,,,N/A,Activist's Objectives Successful,US,North America,NYSE,Healthcare,Medical Devices,"239,196",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Centene Corporation,1219,CNC,,13-Mar-20,2020,0,Governance,Amend Company Policy,1-May-20,AGM,,,N/A,Activist's Objectives Successful,US,North America,NYSE,Healthcare,Health Care Plans,"48,425",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Cigna Corp,45951,CI,1-Jan-15,13-Mar-20,2020,,Governance,Amend Company Policy,24-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Health Care Plans,"72,994",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Boeing Company (The),67,BA,,13-Mar-20,2020,,Governance,Amend Company Policy,27-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Aerospace & Defense,"117,258",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Norfolk Southern Corporation,272,NSC,19-Mar-14,13-Mar-20,2020,0,Governance,Amend Company Policy,15-May-20,AGM Result,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Railroads,"69,395",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Pfizer Inc.,17,PFE,14-Mar-13,13-Mar-20,2020,,Governance,Amend Company Policy,23-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Drug Manufacturers - Major,"330,878",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Greenhill & Co. Inc.,1895,GHL,15-Jun-18,13-Mar-20,2020,0,Governance,Amend Company Policy,23-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Capital Markets,322,Small-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Abbott Laboratories,121,ABT,,13-Mar-20,2020,,Governance,Amend Company Policy,28-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Medical Devices,"239,196",Large-Cap,Current,,,,,,
MG Capital Partners (Percy Rockdale LLC),9135,Investment Firm,Hedge Fund,US,Occasional,2011,"HC2 Holdings, Inc.",27558,HCHC,27-Jan-20,13-Mar-20,2020,10.8,Governance,Amend Company Policy,14-May-20,N/A,,,N/A,Activist Withdrew Demands,US,North America,NYSE,Communication Services,Telecom Services,286,Small-Cap,Current,,,,,,
New York City Pension Funds,1496,Government/ National,,US,Engagement,1801,Berkshire Hathaway Inc.,5603,BRK.B,,13-Mar-20,2020,,Social,Diversity and Equality,2-May-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Insurance - Diversified,"382,413",Large-Cap,Current,,,,,,
Office of the New York State Comptroller,786,Government/ National,,US,Engagement,,Exxon Mobil Corporation,2,XOM,12-Apr-13,13-Mar-20,2020,,Governance,Separate Chairman & CEO,27-May-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Energy,Oil & Gas Integrated,"256,157",Large-Cap,Current,,,,,,
Office of the New York State Comptroller,786,Government/ National,,US,Engagement,,Exxon Mobil Corporation,2,XOM,12-Apr-13,13-Mar-20,2020,,Governance,Board Independence,27-May-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Energy,Oil & Gas Integrated,"256,157",Large-Cap,Current,,,,,,
"Oxfam America, Inc.",7932,Rights/ Cause/ ESG,Other Rights/ Cause,US,Engagement,,Pfizer Inc.,17,PFE,,13-Mar-20,2020,,Social,Political Activities,23-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Drug Manufacturers - Major,"330,878",Large-Cap,Current,,,,,,
Proxy Impact,10555,Rights/ Cause/ ESG,ESG,US,Engagement,,Cigna Corp,45951,CI,,13-Mar-20,2020,,Social,Diversity and Equality,22-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Health Care Plans,"72,994",Large-Cap,Current,,,,,,
Proxy Impact,10555,Rights/ Cause/ ESG,ESG,US,Engagement,,Pfizer Inc.,17,PFE,,13-Mar-20,2020,,Social,Diversity and Equality,23-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Drug Manufacturers - Major,"330,878",Large-Cap,Current,,,,,,
Sisters of St. Francis of Philadelphia,7171,Rights/ Cause/ ESG,Religious,US,Engagement,1971,Pfizer Inc.,17,PFE,,13-Mar-20,2020,,Governance,Board Independence,23-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Drug Manufacturers - Major,"330,878",Large-Cap,Current,,,,,,
Sisters of St. Francis of Philadelphia,7171,Rights/ Cause/ ESG,Religious,US,Engagement,1971,Pfizer Inc.,17,PFE,,13-Mar-20,2020,,Governance,Separate Chairman & CEO,23-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Drug Manufacturers - Major,"330,878",Large-Cap,Current,,,,,,
The National Center for Public Policy Research,7934,Rights/ Cause/ ESG,Other Rights/ Cause,US,Engagement,1982,Boeing Company (The),67,BA,,13-Mar-20,2020,,Governance,Amend Company Policy,27-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Aerospace & Defense,"117,258",Large-Cap,Current,,,,,,
Unitarian Universalist Association of Congregations,10508,Rights/ Cause/ ESG,Religious,US,Engagement,,Abbott Laboratories,121,ABT,,13-Mar-20,2020,,Social,Political Activities,24-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Medical Devices,"239,196",Large-Cap,Current,,,,,,
United Steelworkers,10381,Labour union,,US,Engagement,,Raytheon Technologies Corp,54,RTX,,13-Mar-20,2020,,Social,Other Social Concern,27-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Aerospace & Defense,"125,250",Large-Cap,Current,,,,,,
California Public Employees' Retirement System (CalPERS),606,Pension Fund,Private,US,Engagement,1932,Weis Markets Inc.,1954,WMK,15-Aug-19,12-Mar-20,2020,0.07,Governance,Amend Company Policy,30-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Consumer Defensive,Grocery Stores,"1,727",Small-Cap,Current,,,,,,
International Brotherhood of Teamsters General Fund,5252,Labour union,,US,Engagement,1903,J.B. Hunt Transport Services Inc.,630,JBHT,,12-Mar-20,2020,,Social,Political Activities,23-Apr-20,N/A,,,N/A,Activist's Objectives Successful,US,North America,NASDAQ,Industrials,Integrated Shipping & Logistics,"20,472",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Dana Inc.,1196,DAN,14-Mar-13,12-Mar-20,2020,0,Governance,Amend Company Policy,28-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Consumer Cyclical,Auto Parts,"3,156",Mid-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Honeywell International Inc.,100,HON,11-Mar-10,12-Mar-20,2020,0,Governance,Amend Company Policy,27-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Diversified Industrials,"138,834",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,General Electric Company,7,GE,,12-Mar-20,2020,,Governance,Board Independence,11-May-20,AGM Result,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Diversified Industrials,"102,193",Large-Cap,Current,,,,,,
Mercy Investment Services,1461,Rights/ Cause/ ESG,Religious,US,Engagement,2010,DTE Energy Company,510,DTE,,12-Mar-20,2020,,Social,Political Activities,7-May-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Utilities,Utilities - Regulated Electric,"38,713",Large-Cap,Current,,,,,,
Mercy Investment Services,1461,Rights/ Cause/ ESG,Religious,US,Engagement,2010,Honeywell International Inc.,100,HON,,12-Mar-20,2020,,Social,Political Activities,27-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Diversified Industrials,"138,834",Large-Cap,Current,,,,,,
Trillium Asset Management Corp.,587,Fund Manager,,US,Partial Focus,1982,J.B. Hunt Transport Services Inc.,630,JBHT,15-Feb-14,12-Mar-20,2020,0.17,Environmental,Climate Change & GHG Emissions,23-Apr-20,N/A,,,N/A,Activist's Objectives Successful,US,North America,NASDAQ,Industrials,Integrated Shipping & Logistics,"20,472",Large-Cap,Current,,,,,,
Bright Start College Savings Trust,10320,Rights/ Cause/ ESG,Other Rights/ Cause,US,Engagement,,Johnson & Johnson,5,JNJ,,11-Mar-20,2020,,Social,Health,23-Apr-20,N/A,,,N/A,Activist's Objectives Successful,US,North America,NYSE,Healthcare,Drug Manufacturers - Major,"440,197",Large-Cap,Current,,,,,,
"Harrington Investments, Inc.",4926,Investment Firm,Other Asset Management,US,Occasional,1982,Citigroup Inc.,27,C,,11-Mar-20,2020,,Social,Other Social Concern,21-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"117,828",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Lockheed Martin Corporation,159,LMT,,11-Mar-20,2020,,Governance,Amend Company Policy,23-Apr-20,AGM Result,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Aerospace & Defense,"93,980",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Citigroup Inc.,27,C,,11-Mar-20,2020,,Governance,Amend Company Policy,24-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"117,828",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,AutoNation Inc.,775,AN,28-Apr-06,11-Mar-20,2020,,Governance,Amend Company Policy,21-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Consumer Cyclical,Auto & Truck Dealerships,"7,268",Mid-Cap,Current,,,,,,
LGPS Central,3837,Pension Fund,Private,UK,Partial Focus,,Citigroup Inc.,27,C,11-Mar-20,11-Mar-20,2020,,Social,Political Activities,21-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"117,828",Large-Cap,Current,,,,,,
New Economy Project,9774,Rights/ Cause/ ESG,Other Rights/ Cause,US,Engagement,,Citigroup Inc.,27,C,,11-Mar-20,2020,,Social,Political Activities,21-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"117,828",Large-Cap,Current,,,,,,
New Hope Capital,9396,Investment Firm,Other Asset Management,US,Occasional,,"Tapinator, Inc.",49190,TAPM,24-Feb-17,11-Mar-20,2020,4,Governance,Disclose Information,25-Jun-20,Met with Activist's Demands in Full,,,N/A,Activist's Objectives Successful,US,North America,OTC Pink,Communication Services,Electronic Gaming & Multimedia,"1,759",Small-Cap,Current,,,,,,
School Sisters of Notre Dame,10435,Rights/ Cause/ ESG,Religious,US,Engagement,1833,Citigroup Inc.,27,C,,11-Mar-20,2020,,Social,Political Activities,21-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"117,828",Large-Cap,Current,,,,,,
The Greater Manchester Pension Fund,1497,Pension Fund,Public,UK,Engagement,1974,Citigroup Inc.,27,C,,11-Mar-20,2020,,Social,Political Activities,21-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"117,828",Large-Cap,Current,,,,,,
James McRitchie,5472,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Kellogg Company,298,K,,10-Mar-20,2020,,Governance,Adopt Majority Vote Standard,24-Apr-20,AGM,,,N/A,Activist's Objectives Successful,US,North America,NYSE,Consumer Defensive,Packaged Foods,"21,371",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,"HCA Healthcare, Inc.",344,HCA,17-Mar-16,10-Mar-20,2020,,Governance,Amend Company Policy,6-May-20,AGM Result,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Medical Care,"76,832",Large-Cap,Current,,,,,,
Arjuna Capital,7466,Investment Firm,"Hedge Fund,Private Equity/ Venture Capital",US,Partial Focus,1974,Bank of America Corporation,28,BAC,10-Apr-17,9-Mar-20,2020,0,Social,Diversity and Equality,22-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"361,655",Large-Cap,Current,,,,,,
George C. Jenne,10942,Rights/ Cause/ ESG,Other Rights/ Cause,US,Engagement,,Bank of America Corporation,28,BAC,,9-Mar-20,2020,,Social,Diversity and Equality,22-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"361,655",Large-Cap,Current,,,,,,
"Harrington Investments, Inc.",4926,Investment Firm,Other Asset Management,US,Occasional,1982,Bank of America Corporation,28,BAC,19-Mar-08,9-Mar-20,2020,,Environmental,Climate Change & GHG Emissions,22-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"361,655",Large-Cap,Current,,,,,,
Helen M. Johnson,10934,Rights/ Cause/ ESG,Other Rights/ Cause,US,Engagement,,Bank of America Corporation,28,BAC,,9-Mar-20,2020,,Social,Diversity and Equality,22-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"361,655",Large-Cap,Current,,,,,,
James McRitchie,5472,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,International Business Machines Corporation (IBM),12,IBM,9-Mar-20,9-Mar-20,2020,,Governance,Amend Company Policy,29-Apr-20,AGM,,,N/A,Activist's Objectives Successful,US,North America,NYSE,Technology,Information Technology Services,"115,660",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Bank of America Corporation,28,BAC,,9-Mar-20,2020,,Governance,Amend Company Policy,22-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"361,655",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,International Business Machines Corporation (IBM),12,IBM,11-Mar-02,9-Mar-20,2020,0,Governance,Amend Company Policy,29-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Technology,Information Technology Services,"115,660",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Bank of America Corporation,28,BAC,,9-Mar-20,2020,,Governance,Amend Company Policy,22-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"361,655",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Bank of America Corporation,28,BAC,,9-Mar-20,2020,,Governance,Amend Company Policy,22-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"361,655",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,International Business Machines Corporation (IBM),12,IBM,11-Mar-13,9-Mar-20,2020,0,Governance,Board Independence,29-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Technology,Information Technology Services,"115,660",Large-Cap,Current,,,,,,
Lee E. Johnson,10851,Rights/ Cause/ ESG,Other Rights/ Cause,US,Engagement,,Bank of America Corporation,28,BAC,,9-Mar-20,2020,,Social,Diversity and Equality,22-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Financial Services,Banks - Global,"361,655",Large-Cap,Current,,,,,,
Myra Young,7087,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,International Business Machines Corporation (IBM),12,IBM,9-Mar-20,9-Mar-20,2020,,Governance,Amend Company Policy,29-Apr-20,AGM,,,N/A,Activist's Objectives Successful,US,North America,NYSE,Technology,Information Technology Services,"115,660",Large-Cap,Current,,,,,,
Rhode Island Office of the General Treasurer,3551,Government/ National,,US,Engagement,,AbbVie Inc.,81,ABBV,,9-Mar-20,2020,,Governance,Board Independence,8-May-20,AGM Result,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Drug Manufacturers - Major,"229,736",Large-Cap,Current,,,,,,
Vermont Pension Investment Committee,931,Pension Fund,Private,US,Engagement,,AbbVie Inc.,81,ABBV,8-Mar-19,9-Mar-20,2020,,Governance,Board Independence,8-May-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Drug Manufacturers - Major,"229,736",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Goodyear Tire & Rubber Co/The,860,GT,14-Mar-14,6-Mar-20,2020,0,Governance,Amend Company Policy,6-Apr-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Consumer Cyclical,Rubber & Plastics,"5,662",Mid-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,AES Corporation (The),575,AES,9-Mar-15,6-Mar-20,2020,,Governance,Amend Company Policy,27-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Utilities,Utilities - Diversified,"15,808",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,"Leidos Holdings, Inc.",26500,LDOS,6-Apr-12,6-Mar-20,2020,,Governance,Amend Company Policy,6-May-20,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Technology,Information Technology Services,"12,130",Large-Cap,Current,,,,,,
Kurt King,9201,Individual Professional Investor,,US,Occasional,,"Cantaloupe, Inc.",4757,CTLP,6-Mar-20,6-Mar-20,2020,1,Governance,Change Board Composition,27-Apr-20,N/A,,,N/A,Activist's Objectives Successful,US,North America,NASDAQ,Industrials,Business Services,559,Small-Cap,Current,,,,,,
Myra Young,7087,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Kimberly-Clark Corporation,177,KMB,10-Mar-14,6-Mar-20,2020,,Governance,Amend Company Policy,29-Apr-20,AGM Result,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Consumer Defensive,Household & Personal Products,"46,901",Large-Cap,Current,,,,,,
Ortelius Alternative Investment Management,8997,Investment Firm,Hedge Fund,US,Partial Focus,2002,Rayonier Advanced Materials Inc,30562,RYAM,6-Mar-20,6-Mar-20,2020,2.8,Governance,Separate Chairman & CEO,6-Mar-20,Compromise/Came to an Agreement,,,N/A,Activist's Objectives Successful,US,North America,NYSE,Basic Materials,Chemicals,332,Small-Cap,Current,,,,,,
"Harrington Investments, Inc.",4926,Investment Firm,Other Asset Management,US,Occasional,1982,Coca-Cola Company (The),21,KO,10-Mar-06,5-Mar-20,2020,,Social,Health,22-Apr-20,N/A,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Consumer Defensive,Beverages - Soft Drinks,"249,533",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Stanley Black & Decker Inc.,439,SWK,4-Mar-20,4-Mar-20,2020,,Governance,Amend Company Policy,21-Apr-20,AGM Result,,,N/A,Activist's Objectives Successful,US,North America,NYSE,Industrials,Tools & Accessories,"29,222",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,FirstEnergy Corporation,416,FE,1-Apr-15,4-Mar-20,2020,,Governance,Amend Company Policy,20-May-20,AGM Result,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Utilities,Utilities - Diversified,"21,907",Large-Cap,Current,,,,,,
